2025-06-30T21:22:02: ℹ️ Queue Monitor starting up
2025-06-30T21:22:02: ✅ WhatsApp notifications enabled via Infobip
2025-06-30T21:22:02: ✅ Queue Monitor started
2025-06-30T21:22:02: ✅ Running in real-time mode with WhatsApp notifications
2025-06-30T21:22:02: (node:21528) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `node --trace-deprecation ...` to show where the warning was created)
2025-06-30T21:22:03: ✅ Initialized WhatsApp monitoring with 0 people in queue
2025-06-30T21:22:03: ✅ Real-time WhatsApp notifications enabled
2025-06-30T21:22:03: ℹ️ Found 12 active sessions and 0 people in queue
2025-06-30T21:22:03: ✅ Features enabled: Auto-removal (30s), Real-time WhatsApp, Automatic mode
2025-06-30T21:22:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:23:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:23:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:24:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:24:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:25:03: ℹ️ Found 11 active sessions and 1 people in queue
2025-06-30T21:25:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:26:03: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:26:33: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:27:04: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:27:33: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:28:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:28:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:29:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:29:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:30:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:30:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:31:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:31:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:32:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:32:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:33:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:33:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:34:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:34:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:35:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:35:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:36:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:36:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:37:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:37:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:38:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:38:33: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:39:03: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:39:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:40:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:40:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:41:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:41:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:42:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:42:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:43:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:43:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:44:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:44:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:45:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:45:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:46:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:46:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:47:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:47:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:48:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:48:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:49:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:49:46: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:50:11: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:50:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:51:08: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:51:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:52:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:52:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:53:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:53:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:54:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:54:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:55:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:55:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:56:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:56:34: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:57:04: ℹ️ Found 11 active sessions and 0 people in queue
2025-06-30T21:57:44: ❌ Error fetching active sessions: fetch failed
2025-06-30T21:57:44: ❌ Error fetching queue: TypeError: fetch failed
2025-06-30T21:57:44: ℹ️ Found 0 active sessions and 0 people in queue
2025-06-30T21:58:04: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:58:34: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T21:59:04: ℹ️ Found 9 active sessions and 0 people in queue
2025-06-30T21:59:34: ℹ️ Found 9 active sessions and 0 people in queue
2025-06-30T22:00:05: ℹ️ Found 9 active sessions and 0 people in queue
2025-06-30T22:00:34: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:01:04: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:01:34: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:02:04: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:02:34: ℹ️ Found 10 active sessions and 0 people in queue
2025-06-30T22:03:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:03:34: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:04:04: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:04:34: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:05:04: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:05:34: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:06:04: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:06:34: ℹ️ Found 8 active sessions and 0 people in queue
2025-06-30T22:07:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:07:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:08:04: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:08:34: ℹ️ Found 7 active sessions and 0 people in queue
2025-06-30T22:09:04: ℹ️ Found 7 active sessions and 0 people in queue
